"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method TextOutput is too closely tied to [[""StringBuilder""|""file:///usr/share/dotnet/packs/Microsoft.NETCore.App.Ref/6.0.0/ref/net6.0/System.Runtime.dll:0:0:0:0""]]: 4 dependencies to it, but only 1 dependencies to its own type.","/SimpleTiledModel.cs","264","19","264","28"
"Repeated conditionals","A conditional statement that occurs more than once within the same scope.","recommendation","Method NextUnobservedNode implements the same conditional statement in multiple locations within the same scope.","/Model.cs","124","9","137","9"
"Repeated conditionals","A conditional statement that occurs more than once within the same scope.","recommendation","Method Propagate implements the same conditional statement in multiple locations within the same scope.","/Model.cs","160","13","182","13"
"Repeated conditionals","A conditional statement that occurs more than once within the same scope.","recommendation","Method Graphics implements the same conditional statement in multiple locations within the same scope.","/OverlappingModel.cs","177","21","194","21"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/OverlappingModel.cs","165","56","165","103"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/OverlappingModel.cs","196","43","196","133"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/OverlappingModel.cs","165","56","165","97"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/OverlappingModel.cs","196","43","196","114"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/OverlappingModel.cs","165","56","165","84"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/OverlappingModel.cs","196","43","196","86"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/SimpleTiledModel.cs","224","43","224","90"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/SimpleTiledModel.cs","251","47","251","103"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/SimpleTiledModel.cs","224","43","224","84"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/SimpleTiledModel.cs","251","47","251","94"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/SimpleTiledModel.cs","224","43","224","71"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/SimpleTiledModel.cs","251","47","251","78"
